"","year","city","type","unit","workhour","country"
"56","2012","Rome","Earnings: Working hours and vacation days (average)","Work per year (hours)","1899","Italy"
"57","2012","Santiago de Chile","Earnings: Working hours and vacation days (average)","Work per year (hours)","2034.9","Chile"
"58","2012","Sao Paulo","Earnings: Working hours and vacation days (average)","Work per year (hours)","1809.5","Brazil"
"59","2012","Seoul","Earnings: Working hours and vacation days (average)","Work per year (hours)","2308.3000000000002","Korea"
"60","2012","Shanghai","Earnings: Working hours and vacation days (average)","Work per year (hours)","1966.8","China"
"61","2012","Sofia","Earnings: Working hours and vacation days (average)","Work per year (hours)","1894.4","Bulgaria"
"62","2012","Stockholm","Earnings: Working hours and vacation days (average)","Work per year (hours)","1795.3","Sweden"
"63","2012","Sydney","Earnings: Working hours and vacation days (average)","Work per year (hours)","1846.2","Australia"
"64","2012","Taipei","Earnings: Working hours and vacation days (average)","Work per year (hours)","2115.6999999999998","Chinese Taipei"
"65","2012","Tallinn","Earnings: Working hours and vacation days (average)","Work per year (hours)","1760","Estonia"
"66","2012","Tel Aviv","Earnings: Working hours and vacation days (average)","Work per year (hours)","1966.3","Israel"
"67","2012","Tokyo","Earnings: Working hours and vacation days (average)","Work per year (hours)","2012.3","Japan"
"68","2012","Toronto","Earnings: Working hours and vacation days (average)","Work per year (hours)","1847.1","Canada"
"69","2012","Vienna","Earnings: Working hours and vacation days (average)","Work per year (hours)","1786.2","Austria"
"70","2012","Vilnius","Earnings: Working hours and vacation days (average)","Work per year (hours)","1789.3","Lithuania"
"71","2012","Warsaw","Earnings: Working hours and vacation days (average)","Work per year (hours)","1792.9","Poland"
"72","2012","Zurich","Earnings: Working hours and vacation days (average)","Work per year (hours)","1887.4","Switzerland"
